Source,Target,Type,Id,Label,timeset,Weight
396645047055583,293621757453096,Directed,122,,,1
396645047055583,150598778383837,Directed,123,,,1
396645047055583,225096980839858,Directed,124,,,1
396645047055583,100106260072858,Directed,125,,,1
396645047055583,535281233184581,Directed,126,,,1
396645047055583,158258074212328,Directed,127,,,1
396645047055583,160920497395560,Directed,128,,,1
396645047055583,106016059434044,Directed,129,,,1
396645047055583,10580904993,Directed,130,,,1
396645047055583,102321373254968,Directed,131,,,1
396645047055583,214500051990594,Directed,132,,,1
396645047055583,311791322520,Directed,133,,,1
396645047055583,172113019516550,Directed,134,,,1
396645047055583,213893898734260,Directed,135,,,1
396645047055583,195185937726,Directed,136,,,1
396645047055583,167109432357,Directed,137,,,1
396645047055583,113504692041801,Directed,138,,,1
396645047055583,111352669019325,Directed,139,,,1
396645047055583,758824260836327,Directed,140,,,1
396645047055583,168041243209222,Directed,141,,,1
396645047055583,191150541024536,Directed,142,,,1
396645047055583,233926569963271,Directed,143,,,1
396645047055583,133640126673623,Directed,144,,,1
396645047055583,179776422147632,Directed,145,,,1
396645047055583,207911165990164,Directed,146,,,1
396645047055583,236624379279,Directed,147,,,1
396645047055583,27538878924,Directed,148,,,1
396645047055583,231543090233889,Directed,149,,,1
396645047055583,401117108635,Directed,150,,,1
396645047055583,141840342589766,Directed,151,,,1
396645047055583,135248629878082,Directed,152,,,1
396645047055583,111209824808,Directed,153,,,1
396645047055583,110353738994971,Directed,154,,,1
396645047055583,108769455819898,Directed,155,,,1
396645047055583,162791110085,Directed,156,,,1
396645047055583,441083082657006,Directed,157,,,1
396645047055583,190455414496469,Directed,158,,,1
396645047055583,37562612841,Directed,159,,,1
396645047055583,155702137844654,Directed,160,,,1
396645047055583,466222663421610,Directed,161,,,1
396645047055583,204886532868838,Directed,162,,,1
396645047055583,116426051771862,Directed,163,,,1
396645047055583,134489589959277,Directed,164,,,1
396645047055583,115692625189837,Directed,165,,,1
396645047055583,125126584189049,Directed,166,,,1
396645047055583,121140614729535,Directed,167,,,1
396645047055583,140076769503650,Directed,168,,,1
396645047055583,133849106806092,Directed,169,,,1
396645047055583,361560647231478,Directed,170,,,1
396645047055583,142357232469757,Directed,171,,,1
396645047055583,190539407711114,Directed,172,,,1
396645047055583,610520942324555,Directed,173,,,1
396645047055583,300450986764776,Directed,174,,,1
396645047055583,130940650274944,Directed,175,,,1
396645047055583,125258960871438,Directed,176,,,1
396645047055583,132833935397,Directed,177,,,1
396645047055583,189937191182050,Directed,178,,,1
396645047055583,23919966078,Directed,179,,,1
396645047055583,104016189727742,Directed,180,,,1
396645047055583,135907266453996,Directed,181,,,1
396645047055583,114815701868067,Directed,182,,,1
396645047055583,212766738734882,Directed,183,,,1
396645047055583,355466117813626,Directed,184,,,1
396645047055583,434486606623766,Directed,185,,,1
396645047055583,314413307837,Directed,186,,,1
396645047055583,149247871896364,Directed,187,,,1
396645047055583,273727775978352,Directed,188,,,1
396645047055583,155771757856805,Directed,189,,,1
396645047055583,379986778825538,Directed,190,,,1
396645047055583,107394042617165,Directed,191,,,1
396645047055583,301302863233,Directed,192,,,1
396645047055583,550244878331761,Directed,193,,,1
396645047055583,107714439256983,Directed,194,,,1
396645047055583,335361606197,Directed,195,,,1
396645047055583,162003133821540,Directed,196,,,1
396645047055583,200408663317612,Directed,197,,,1
396645047055583,126782594001871,Directed,198,,,1
396645047055583,180340435351184,Directed,199,,,1
396645047055583,522018357832315,Directed,200,,,1
396645047055583,289910697861040,Directed,201,,,1
396645047055583,112285208826172,Directed,202,,,1
396645047055583,395507403847974,Directed,203,,,1
396645047055583,308385419176623,Directed,204,,,1
396645047055583,220931314624858,Directed,205,,,1
396645047055583,227647727288642,Directed,206,,,1
396645047055583,205302992833989,Directed,207,,,1
396645047055583,227579337295722,Directed,208,,,1
396645047055583,51504877506,Directed,209,,,1
396645047055583,191870827546830,Directed,210,,,1
396645047055583,141803269192601,Directed,211,,,1
396645047055583,116500091768265,Directed,212,,,1
396645047055583,126207529128,Directed,213,,,1
396645047055583,148564961869036,Directed,214,,,1
396645047055583,109603222399392,Directed,215,,,1
396645047055583,130499853680724,Directed,216,,,1
396645047055583,271340272908020,Directed,217,,,1
396645047055583,197401676950391,Directed,218,,,1
396645047055583,178827615529939,Directed,219,,,1
396645047055583,114197501956615,Directed,220,,,1
396645047055583,192014377576116,Directed,221,,,1
396645047055583,197314056956659,Directed,222,,,1
155052495031963,26500661542,Directed,223,,,1
473534849474333,658079384346271,Directed,224,,,1
473534849474333,147367455331860,Directed,225,,,1
473534849474333,1808319092731784,Directed,226,,,1
473534849474333,220396271715844,Directed,227,,,1
473534849474333,26500661542,Directed,228,,,1
216818815001367,212094505475204,Directed,229,,,1
216818815001367,559773954079962,Directed,230,,,1
216818815001367,220319411449067,Directed,231,,,1
216818815001367,423568257758316,Directed,232,,,1
216818815001367,1420140144884049,Directed,233,,,1
216818815001367,403513403125659,Directed,234,,,1
216818815001367,140504009302351,Directed,235,,,1
216818815001367,109294189097649,Directed,236,,,1
216818815001367,11784025953,Directed,237,,,1
216818815001367,104770457523,Directed,238,,,1
216818815001367,112628252109619,Directed,239,,,1
216818815001367,107448119284549,Directed,240,,,1
216818815001367,108260189201406,Directed,241,,,1
216818815001367,35245929077,Directed,242,,,1
216818815001367,161230223899140,Directed,243,,,1
107862852600046,494606663929965,Directed,244,,,1
107862852600046,131822586893766,Directed,245,,,1
107862852600046,46394889265,Directed,246,,,1
107862852600046,24162956151,Directed,247,,,1
107862852600046,44742838576,Directed,248,,,1
107862852600046,238285906195051,Directed,249,,,1
107862852600046,11711572282,Directed,250,,,1
107862852600046,126790437411020,Directed,251,,,1
107862852600046,258438354179375,Directed,252,,,1
