Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
118907304865324,ASAP Rocky,,asaprocky,Musician/Band,0.01,5978720,6610,no,https://www.facebook.com/asaprocky/
450131130590,French Montana,,FrenchMontanaOfficial,Musician/Band,0.03,4279965,15448,no,https://www.facebook.com/FrenchMontanaOfficial/
26260583856,Flying Lotus,,flyinglotus,Musician/Band,0,653730,454,yes,https://www.facebook.com/flyinglotus/
35521441800,A-Trak,,atrak,Musician/Band,0.02,460239,778,yes,https://www.facebook.com/atrak/
652558464761573,Splash House,,SplashHousePS,Concert Tour,0.16,24356,74,yes,https://www.facebook.com/SplashHousePS/
164916136887439,Boiler Room,,boilerroom.tv,News & Media Website,0.49,2773119,238935,yes,https://www.facebook.com/boilerroom.tv/
213641182015617,Pharrell Williams,,Pharrell,Artist,0.02,10473655,14506,no,https://www.facebook.com/Pharrell/
15087023444,Nike,,nike,Sportswear Store,0,31768934,189712,no,https://www.facebook.com/nike/
8062627951,TechCrunch,,techcrunch,News & Media Website,0.94,2850019,20003,no,https://www.facebook.com/techcrunch/
10376464573,Lady Gaga,,ladygaga,Musician/Band,0.02,59599869,93115,yes,https://www.facebook.com/ladygaga/
5942134076,Fast Company,,FastCompany,Media/News Company,1.75,1230682,28495,no,https://www.facebook.com/FastCompany/
18807449704,Mashable,,mashable,Media/News Company,2.48,7315771,238526,no,https://www.facebook.com/mashable/
64759509591,SoulCycle,,SoulCycleInc,Company,0.01,118398,875,no,https://www.facebook.com/SoulCycleInc/
37763684202,The Daily Beast,,thedailybeast,News & Media Website,1.98,2196946,35724,yes,https://www.facebook.com/thedailybeast/
187866389642,Pigeons and Planes,,PigsAndPlans,Entertainment Website,0.06,784202,778,yes,https://www.facebook.com/PigsAndPlans/
152339484277,Q Magazine,,QMagazine,Magazine,0.02,143108,130,no,https://www.facebook.com/QMagazine/
305793219462203,Songkick,,songkick,App Page,0.01,90216,149,no,https://www.facebook.com/songkick/
5768707450,MLB,,mlb,Sports League,0.58,6996578,382356,no,https://www.facebook.com/mlb/
21898300328,BuzzFeed,,BuzzFeed,Media/News Company,2.14,11495344,1207229,yes,https://www.facebook.com/BuzzFeed/
5170395767,Jennifer Lopez,,jenniferlopez,Musician/Band,0.03,44477941,195241,no,https://www.facebook.com/jenniferlopez/
142029109274703,Juicy J,,juicyjmusic,Musician/Band,0.01,4460655,2033,yes,https://www.facebook.com/juicyjmusic/
17614953850,Funny Or Die,,funnyordie,Entertainment Website,0.22,15253152,282457,no,https://www.facebook.com/funnyordie/
45084588507,Los Angeles Dodgers,,Dodgers,Professional Sports Team,0.52,3369762,81421,no,https://www.facebook.com/Dodgers/
599590616742573,The h.wood Group,,HwoodGroup,Food & Beverage,0.01,1506,14,yes,https://www.facebook.com/HwoodGroup/
19074699872,Gwen Stefani,,gwenstefani,Musician/Band,0.01,7585067,4127,yes,https://www.facebook.com/gwenstefani/
42324160403,BET,,BET,TV Network,4.46,7494135,556293,yes,https://www.facebook.com/BET/
126747447391029,The Governors Ball Music Festival,,govballnyc,Performance & Event Venue,0.03,189694,110,yes,https://www.facebook.com/govballnyc/
7891635905,Bonnaroo Music and Arts Festival,,bonnaroo,Performance & Event Venue,0.03,681268,1053,yes,https://www.facebook.com/bonnaroo/
135289098575,Clean Bandit,,cleanbandit,Musician/Band,0.03,987076,5234,yes,https://www.facebook.com/cleanbandit/
392148947525572,REVOLT TV,,revoltTV,TV Channel,0.34,347385,185555,no,https://www.facebook.com/revoltTV/
143884685632131,YG FAMILY,,ygfamily,Record Label,0.15,3432765,51836,no,https://www.facebook.com/ygfamily/
356579012251,YG,,Yg400,Musician/Band,0.01,3766599,8881,no,https://www.facebook.com/Yg400/
181861021831773,2 Chainz,,2Chainz,Musician/Band,0.08,6087729,12266,yes,https://www.facebook.com/2Chainz/
83711079303,Drake,,Drake,Musician/Band,0,35517124,35725,yes,https://www.facebook.com/Drake/
42553810029,Interscope Records,,interscope,Musician/Band,0.03,559453,3391,no,https://www.facebook.com/interscope/
104943266215463,Ace Hotel & Swim Club,,acehotelandswimclub,Hotel,0.04,30455,235,yes,https://www.facebook.com/acehotelandswimclub/
28940545600,Beyonc̩,,beyonce,Musician/Band,0.02,62853199,96876,no,https://www.facebook.com/beyonce/
7764573022,El Rey,,elrey,Dance & Night Club,0.05,49303,904,no,https://www.facebook.com/elrey/
5845317146,Miley Cyrus,,MileyCyrus,Musician/Band,0.02,44877622,18412,no,https://www.facebook.com/MileyCyrus/
137029526330648,Disclosure,,disclosureuk,Musician/Band,0,1878796,14618,yes,https://www.facebook.com/disclosureuk/
313595788739120,SAM SMITH,,samsmithworld,Musician,0.29,6077017,64472,yes,https://www.facebook.com/samsmithworld/
12955899333,Goldenvoice,,goldenvoice,Arts & Entertainment,0.09,96858,2270,yes,https://www.facebook.com/goldenvoice/
20281766647,Coachella,,coachella,Festival,0.02,2094659,1632,yes,https://www.facebook.com/coachella/
113823651434,Soho House West Hollywood,,sohohousewh,New American Restaurant,0,19187,220,no,https://www.facebook.com/sohohousewh/
413708012044983,MAGIC!,,ournameisMAGIC,Musician/Band,0.04,1033077,1920,yes,https://www.facebook.com/ournameisMAGIC/
700256186705573,Unofficial: We Are Harlot,,,Musician/Band,0,2160,2,yes,https://www.facebook.com/Unofficial-We-Are-Harlot-700256186705573/
170869886291532,Death Grips,,deathgripz,Music,0,333459,468,no,https://www.facebook.com/deathgripz/
271730225599,Soundgarden,,Soundgarden,Musician/Band,0.01,2881080,8454,no,https://www.facebook.com/Soundgarden/
19787971220,Nine Inch Nails,,ninofficial,Musician/Band,0.01,3527520,6599,no,https://www.facebook.com/ninofficial/
132883180077993,YG,,,Public Figure,0,57042,0,no,https://www.facebook.com/pages/YG/132883180077993
228622847153959,Stone Music Entertainment,,stonemusicent,Entertainment Website,0.08,383576,16129,yes,https://www.facebook.com/stonemusicent/
87199626608,97.1 AMP Radio,,971AMPRADIO,Radio Station,0.11,72347,490,yes,https://www.facebook.com/971AMPRADIO/
107938243423,The World Famous KROQ,,worldfamouskroq,Radio Station,0.19,227867,3612,yes,https://www.facebook.com/worldfamouskroq/
8103318119,Target,,target,Retail Company,1.31,24302491,116352,yes,https://www.facebook.com/target/
25593816105,SKAM ARTIST DJS,,skamartistfanpage,Record Label,0.03,28116,36,yes,https://www.facebook.com/skamartistfanpage/
403044644166,Decibel Magazine,,decibelmagazine,Magazine,0.24,178205,1948,yes,https://www.facebook.com/decibelmagazine/
53402485622,Power 106 Los Angeles,,Power106LA,Radio Station,0.69,378927,988,yes,https://www.facebook.com/Power106LA/
