Source,Target,Type,Id,Label,timeset,Weight
615085188507202,126898800659598,Directed,90,,,1
615085188507202,109218389152020,Directed,91,,,1
615085188507202,53231441835,Directed,92,,,1
615085188507202,11145281150,Directed,93,,,1
615085188507202,21283608795,Directed,94,,,1
615085188507202,28015075999,Directed,95,,,1
615085188507202,5747398233,Directed,96,,,1
615085188507202,10664530778,Directed,97,,,1
615085188507202,271577592877253,Directed,98,,,1
615085188507202,183306347807,Directed,99,,,1
615085188507202,56848544614,Directed,100,,,1
615085188507202,241100506423,Directed,101,,,1
615085188507202,45309870078,Directed,102,,,1
615085188507202,117342865147,Directed,103,,,1
615085188507202,213820071991382,Directed,104,,,1
615085188507202,8576093908,Directed,105,,,1
615085188507202,26012002239,Directed,106,,,1
615085188507202,5678046685,Directed,107,,,1
730248983799095,615085188507202,Directed,108,,,1
1669856786633898,615085188507202,Directed,109,,,1
16577276577,615085188507202,Directed,110,,,1
16577276577,100484820802,Directed,111,,,1
16577276577,413708012044983,Directed,112,,,1
16577276577,19366141168,Directed,113,,,1
16577276577,35896804101,Directed,114,,,1
16577276577,6558867050,Directed,115,,,1
16577276577,137029526330648,Directed,116,,,1
16577276577,450131130590,Directed,117,,,1
16577276577,356579012251,Directed,118,,,1
16577276577,10959868407,Directed,119,,,1
16577276577,42324160403,Directed,120,,,1
16577276577,142029109274703,Directed,121,,,1
16577276577,10376464573,Directed,122,,,1
16577276577,9189674485,Directed,123,,,1
16577276577,213641182015617,Directed,124,,,1
16577276577,28940545600,Directed,125,,,1
16577276577,5845317146,Directed,126,,,1
16577276577,241100506423,Directed,127,,,1
16577276577,135289098575,Directed,128,,,1
16577276577,313595788739120,Directed,129,,,1
16577276577,83711079303,Directed,130,,,1
16577276577,5170395767,Directed,131,,,1
16577276577,18807449704,Directed,132,,,1
16577276577,15087023444,Directed,133,,,1
16577276577,28015075999,Directed,134,,,1
16577276577,45309870078,Directed,135,,,1
16577276577,20281766647,Directed,136,,,1
100484820802,730248983799095,Directed,137,,,1
103590326358983,20281766647,Directed,138,,,1
103590326358983,615085188507202,Directed,139,,,1
103590326358983,21283608795,Directed,140,,,1
103590326358983,139999882711639,Directed,141,,,1
103590326358983,14226545351,Directed,142,,,1
103590326358983,6209079710,Directed,143,,,1
6394861658,100484820802,Directed,144,,,1
390297510999650,170869886291532,Directed,145,,,1
390297510999650,7821606430,Directed,146,,,1
390297510999650,28015075999,Directed,147,,,1
390297510999650,118907304865324,Directed,148,,,1
115236388496238,615085188507202,Directed,149,,,1
6708101101,28015075999,Directed,150,,,1
5482789690,107938243423,Directed,151,,,1
5482789690,20281766647,Directed,152,,,1
14226545351,7891635905,Directed,153,,,1
14226545351,241100506423,Directed,154,,,1
652558464761573,20281766647,Directed,155,,,1
164916136887439,137029526330648,Directed,156,,,1
164916136887439,28015075999,Directed,157,,,1
164916136887439,83711079303,Directed,158,,,1
164916136887439,26260583856,Directed,159,,,1
213641182015617,28940545600,Directed,160,,,1
213641182015617,9189674485,Directed,161,,,1
10376464573,42553810029,Directed,162,,,1
64759509591,6209079710,Directed,163,,,1
64759509591,45309870078,Directed,164,,,1
37763684202,10664530778,Directed,165,,,1
37763684202,8062627951,Directed,166,,,1
187866389642,10959868407,Directed,167,,,1
187866389642,137438429783226,Directed,168,,,1
187866389642,313595788739120,Directed,169,,,1
187866389642,213641182015617,Directed,170,,,1
187866389642,20281766647,Directed,171,,,1
187866389642,142029109274703,Directed,172,,,1
187866389642,118907304865324,Directed,173,,,1
187866389642,45309870078,Directed,174,,,1
187866389642,83711079303,Directed,175,,,1
152339484277,615085188507202,Directed,176,,,1
152339484277,205188069505931,Directed,177,,,1
152339484277,56848544614,Directed,178,,,1
152339484277,28940545600,Directed,179,,,1
152339484277,28015075999,Directed,180,,,1
152339484277,45309870078,Directed,181,,,1
152339484277,26260583856,Directed,182,,,1
152339484277,137029526330648,Directed,183,,,1
152339484277,9189674485,Directed,184,,,1
152339484277,19787971220,Directed,185,,,1
152339484277,10376464573,Directed,186,,,1
152339484277,5678046685,Directed,187,,,1
305793219462203,20281766647,Directed,188,,,1
305793219462203,28015075999,Directed,189,,,1
5170395767,313595788739120,Directed,190,,,1
45084588507,5768707450,Directed,191,,,1
42324160403,21898300328,Directed,192,,,1
42324160403,6558867050,Directed,193,,,1
42324160403,83711079303,Directed,194,,,1
42324160403,28940545600,Directed,195,,,1
42324160403,10376464573,Directed,196,,,1
126747447391029,26260583856,Directed,197,,,1
126747447391029,135289098575,Directed,198,,,1
126747447391029,137029526330648,Directed,199,,,1
126747447391029,83711079303,Directed,200,,,1
126747447391029,14226545351,Directed,201,,,1
126747447391029,21898300328,Directed,202,,,1
126747447391029,35521441800,Directed,203,,,1
126747447391029,28015075999,Directed,204,,,1
7891635905,137438429783226,Directed,205,,,1
7891635905,26260583856,Directed,206,,,1
7891635905,313595788739120,Directed,207,,,1
7891635905,137029526330648,Directed,208,,,1
7891635905,170869886291532,Directed,209,,,1
7891635905,35521441800,Directed,210,,,1
7891635905,118907304865324,Directed,211,,,1
7891635905,117342865147,Directed,212,,,1
7891635905,28940545600,Directed,213,,,1
7891635905,19787971220,Directed,214,,,1
7891635905,6394861658,Directed,215,,,1
7891635905,45309870078,Directed,216,,,1
392148947525572,118907304865324,Directed,217,,,1
392148947525572,6558867050,Directed,218,,,1
392148947525572,241100506423,Directed,219,,,1
181861021831773,10664530778,Directed,220,,,1
181861021831773,42324160403,Directed,221,,,1
181861021831773,197474901813,Directed,222,,,1
42553810029,45309870078,Directed,223,,,1
42553810029,10376464573,Directed,224,,,1
28940545600,6558867050,Directed,225,,,1
7764573022,135289098575,Directed,226,,,1
7764573022,413708012044983,Directed,227,,,1
7764573022,20281766647,Directed,228,,,1
7764573022,12955899333,Directed,229,,,1
5845317146,615085188507202,Directed,230,,,1
137029526330648,28940545600,Directed,231,,,1
137029526330648,35521441800,Directed,232,,,1
137029526330648,26260583856,Directed,233,,,1
137029526330648,164916136887439,Directed,234,,,1
313595788739120,28940545600,Directed,235,,,1
